Gemeinde,Stimmenanteile AfD,Geburten junger Mütter (<20 Jahre),Geburten älterer Mütter (>=40 Jahre),Haushalte mit Kindern
"Landshut, Stadt",17.52,3.79,21.6,22.71
"Passau, Stadt",18.01,7.87,10.46,19.26
Straubing,25.01,11.87,11.0,22.7
Deggendorf,28.26,3.66,11.95,29.9
Freyung-Grafenau,30.35,2.49,12.89,32.89
Kelheim,24.12,5.03,8.44,33.58
Passau,27.65,3.47,10.36,32.08
Regen,31.29,5.78,11.08,31.04
Rottal-Inn,24.16,4.67,12.78,32.07
Straubing-Bogen,26.09,3.68,10.81,36.86
Dingolfing-Landau,28.81,1.79,10.24,32.98
