Gemeinde,Arbeitslosenquote,Langzeitarbeitslose,Ausländische Arbeitslose,Arbeitslose ohne Ausbildung,(SDG 8) Langzeitarbeitslosenquote,(SDG 8) Beschäftigungsquote - 15- bis 64-Jährige,Medianeinkommen,Monatliches Haushaltseinkommen,Haushalte mit niedrigem Einkommen,Haushalte mit mittlerem Einkommen,Haushalte mit hohem Einkommen,Empfänger von Grundsicherung im Alter (Altersarmut),Empfänger von Mindestsicherungen,Wohngeldhaushalte,Kinderarmut,Stimmenanteile AfD
"Landshut, Stadt",5.19,26.09,48.86,55.01,1.35,72.35,3631.01,2545.85,21.48,49.78,28.75,4.42,7.79,18.91,11.17,17.52
"Passau, Stadt",5.17,23.65,43.53,56.47,1.22,59.92,3865.57,2020.11,26.86,46.86,26.28,4.21,8.2,13.31,13.72,18.01
Straubing,5.26,27.37,37.83,59.77,1.44,68.78,3534.74,2149.0,22.7,47.52,29.77,6.08,8.49,21.73,10.89,25.01
Deggendorf,3.3,19.79,27.11,46.51,0.65,67.79,3628.18,2283.2,23.18,47.05,29.77,2.22,4.35,8.92,5.05,28.26
Freyung-Grafenau,3.13,17.19,26.58,44.56,0.54,66.83,3361.89,2102.9,25.01,47.71,27.28,1.4,3.27,10.57,4.55,30.35
Kelheim,2.87,23.24,40.1,48.67,0.67,69.24,3626.5,2279.74,18.72,48.25,33.03,1.73,3.03,8.57,3.7,24.12
Passau,3.22,20.74,32.53,44.47,0.67,66.8,3292.49,2151.39,22.99,47.29,29.71,1.78,4.48,8.16,6.55,27.65
Regen,3.6,20.76,29.3,45.22,0.75,66.67,3393.88,2123.84,26.69,47.74,25.57,1.52,4.15,12.61,5.96,31.29
Rottal-Inn,3.48,26.78,37.4,55.45,0.93,69.14,3360.51,2328.74,20.34,49.28,30.39,1.69,4.26,9.93,6.71,24.16
Straubing-Bogen,2.83,21.36,30.13,49.68,0.61,69.41,3363.11,2241.25,20.64,48.3,31.06,1.53,2.99,6.08,3.81,26.09
Dingolfing-Landau,3.07,23.77,37.39,44.74,0.73,72.31,4418.93,2263.24,18.7,47.06,34.24,1.74,2.84,8.85,3.9,28.81
