Kennziffer;Raumeinheit;Aggregat;Fertiggestellte Wohngeb�ude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie
;;;2023;2023
9261;Landshut, Stadt;Kreise;74,42;70,87
9262;Passau, Stadt;Kreise;69,77;82,54
9263;Straubing;Kreise;85,29;86,27
9271;Deggendorf;Kreise;87,83;85,01
9272;Freyung-Grafenau;Kreise;72,15;60,14
9273;Kelheim;Kreise;77,11;77,26
9274;Landshut;Kreise;71,65;64,16
9275;Passau;Kreise;69,15;68,6
9276;Regen;Kreise;80,22;77,26
9277;Rottal-Inn;Kreise;68,31;57,14
9278;Straubing-Bogen;Kreise;84,21;86,02
9279;Dingolfing-Landau;Kreise;76,81;36,02
